Order Number,Customer Number,Store Number,Order Date,Delivery Method,Status,Total Amount,Loyalty Points Accrued
E0016348-0010070,003270000023mLSAAY,2245,2024-08-02 19:55:00,Shipping,Cancelled,510.00,0
E0016348-0010131,0032700000yTwMkAAK,6205,2024-07-28 20:35:00,Pickup,Completed,437.00,30400
E0016348-0010027,0032700000w1ozXAAQ,3565,2024-07-27 14:07:00,Pickup,Completed,135.00,17100
E0016348-0010005,00327000002NPGKAA4,1255,2024-07-26 12:08:00,Shipping,Completed,48.00,7300
E0016348-0010146,0032700000EeXf5AAF,2685,2024-07-25 19:55:00,Shipping,Completed,957.00,52440
E0016348-0010223,0032700000UcmlhAAB,1475,2024-07-24 19:47:00,Shipping,Completed,303.00,12750
E0016348-0010206,0032700000OmB5bAAF,3345,2024-07-21 17:01:00,Shipping,Completed,48.00,7300
E0016348-0010163,0032700000vbopnAAA,4995,2024-07-20 13:05:00,Pickup,Completed,120.00,6500
E0016348-0010159,0032700000iq02YAAQ,1255,2024-07-18 21:00:00,Pickup,Cancelled,58.00,8000
E0016348-0010022,00327000004kvPJAAY,3565,2024-07-17 18:42:00,Pickup,Completed,240.00,8500
E0016348-0010106,00327000000TKQJAA4,4665,2024-07-07 15:34:00,Shipping,Completed,210.00,19200
E0016348-0010113,0032700000QeEVYAA3,5105,2024-07-07 13:02:00,Pickup,Completed,20.00,3000
E0016348-0010048,0032700000Bav6SAAR,5545,2024-07-06 17:47:00,Pickup,Completed,240.00,13000
E0016348-0010167,00327000004s4iVAAQ,5215,2024-07-04 20:47:00,Pickup,Completed,70.00,9200
E0016348-0010036,0032700000uzGyIAAU,5545,2024-07-04 12:21:00,Shipping,Completed,180.00,17400
E0016348-0010014,0032700000QeEVYAA3,5105,2024-06-29 20:13:00,Shipping,Completed,430.00,37041
E0016348-0010020,0032700000chUS4AAM,2575,2024-06-29 15:23:00,Shipping,Completed,90.00,11850
E0016348-0010049,0032700000m5TJAAA2,5435,2024-06-26 15:54:00,Pickup,Completed,162.00,17400
E0016348-0010088,003270000040oyjAAA,5545,2024-06-26 13:58:00,Pickup,Completed,250.00,13000
E0016348-0010105,0032700000Pk68JAAR,3675,2024-06-21 16:10:00,Pickup,Cancelled,25.75,0
E0016348-0010045,0032700000Ok8quAAB,1145,2024-06-21 13:49:00,Pickup,Cancelled,280.00,0
E0016348-0010152,0032700000CMz2eAAD,5545,2024-06-19 17:08:00,Shipping,Completed,96.00,12540
E0016348-0010067,0032700000fSCSyAAO,5875,2024-06-18 23:36:00,Pickup,Submitted,60.00,5800
E0016348-0010195,0032700000JxfQhAAJ,5545,2024-06-18 12:33:00,Shipping,Cancelled,28.00,0
E0016348-0010192,0032700000mwbVRAAY,1475,2024-06-17 17:06:00,Shipping,Completed,90.00,13356
E0016348-0010013,0032700000lxkkGAAQ,1475,2024-06-13 17:45:00,Pickup,Open,60.00,5800
E0016348-0010091,0032700000Xq1dfAAB,1145,2024-06-12 18:18:00,Pickup,Completed,438.00,29598
E0016348-0010215,0032700000m5TJAAA2,5435,2024-06-12 13:24:00,Shipping,Cancelled,303.00,0
E0016348-0010006,0032700000Pk68JAAR,3675,2024-06-11 20:17:00,Pickup,Completed,178.00,10800
E0016348-0010241,0032700000elh3mAAA,5105,2024-06-08 22:09:00,Shipping,Completed,77.25,10920
E0016348-0010044,0032700000piqCLAAY,1145,2024-06-08 17:20:00,Shipping,Completed,64.00,8360
E0016348-0010126,0032700000w1ozXAAQ,3565,2024-06-08 12:45:00,Shipping,Completed,60.00,5800
E0016348-0010120,0032700000TEBDiAAP,3675,2024-06-08 12:06:00,Pickup,Cancelled,260.00,0
E0016348-0010175,00327000005bjfmAAA,1475,2024-06-07 14:51:00,Shipping,Cancelled,230.00,0
E0016348-0010207,0032700000Ox0UNAAZ,5545,2024-06-06 23:13:00,Pickup,Completed,35.00,4600
E0016348-0010124,0032700000DneKRAAZ,6095,2024-06-06 22:52:00,Pickup,Completed,390.00,33130
E0016348-0010143,0032700000piqCLAAY,1145,2024-06-06 16:06:00,Pickup,Completed,378.00,22750
E0016348-0010001,0032700000WPwRCAA1,2245,2024-06-04 17:28:00,Shipping,Completed,60.00,5800
E0016348-0010053,0032700000yQ55RAAS,1915,2024-06-03 23:07:00,Pickup,Completed,340.00,18000
E0016348-0010178,0032700000ay71zAAA,5545,2024-06-03 12:29:00,Shipping,Submitted,139.00,7023
E0016348-0010224,0032700000ay71zAAA,5545,2024-06-02 19:26:00,Pickup,Completed,424.00,15250
E0016348-0010185,0032700000JBKDsAAP,6205,2024-06-01 19:19:00,Pickup,Cancelled,100.00,0
E0016348-0010238,0032700000xsJUUAA2,1475,2024-05-29 20:56:00,Pickup,Completed,486.00,38340
E0016348-0010075,0032700000rKkNFAA0,2685,2024-05-28 17:33:00,Pickup,Cancelled,360.00,0
E0016348-0010026,0032700000mwbVRAAY,1475,2024-05-27 17:14:00,Shipping,Completed,75.00,9850
E0016348-0010079,0032700000iGDEUAA4,3565,2024-05-27 15:55:00,Pickup,Completed,55.00,8625
E0016348-0010111,0032700000HnLFWAA3,3455,2024-05-26 16:54:00,Shipping,Completed,200.00,15722
E0016348-0010062,0032700000JBKDsAAP,6205,2024-05-26 14:19:00,Pickup,Completed,126.25,16620
E0016348-0010135,0032700000uzGyIAAU,5545,2024-05-26 14:09:00,Shipping,Cancelled,130.00,0
E0016348-0010107,0032700000fg7kuAAA,4665,2024-05-24 22:15:00,Shipping,Completed,109.00,7960
E0016348-0010064,0032700000K5wrvAAB,4995,2024-05-24 12:05:00,Pickup,Completed,170.00,9000
E0016348-0010188,0032700000piqCLAAY,1145,2024-05-14 13:58:00,Shipping,Open,169.00,9050
E0016348-0010008,0032700000fg7kuAAA,4665,2024-05-09 23:17:00,Shipping,Completed,150.00,15458
E0016348-0010151,0032700000TPwFoAAL,5655,2024-05-07 14:19:00,Pickup,Completed,240.00,13000
E0016348-0010101,0032700000ij2A5AAI,5435,2024-05-05 15:23:00,Shipping,Completed,58.00,8000
E0016348-0010104,00327000002NPGKAA4,1255,2024-05-02 20:52:00,Pickup,Completed,529.00,28250
E0016348-0010147,0032700000Bav6SAAR,5545,2024-05-01 18:22:00,Shipping,Completed,100.00,11400
E0016348-0010083,003270000037Z3SAAU,1915,2024-04-30 23:23:00,Shipping,Completed,742.00,44150
E0016348-0010002,0032700000ij2A5AAI,5435,2024-04-29 21:56:00,Shipping,Completed,390.00,29300
E0016348-0010056,0032700000mk26uAAA,2575,2024-04-29 19:11:00,Shipping,Completed,120.00,8460
E0016348-0010060,0032700000DaahBAAR,3675,2024-04-29 16:57:00,Shipping,Cancelled,34.00,0
E0016348-0010181,0032700000ElZ0LAAV,3785,2024-04-28 14:53:00,Pickup,Completed,70.00,6400
E0016348-0010182,00327000002EjZnAAK,5105,2024-04-27 13:12:00,Pickup,Completed,150.00,8800
E0016348-0010121,00327000004kvPJAAY,3565,2024-04-26 22:14:00,Pickup,Completed,60.00,7900
E0016348-0010239,003270000023mLSAAY,2245,2024-04-26 13:03:00,Pickup,Completed,120.00,11600
E0016348-0010233,0032700000K5wrvAAB,4995,2024-04-24 20:37:00,Shipping,Completed,466.00,32630
E0016348-0010208,0032700000npcq2AAA,1915,2024-04-24 13:20:00,Shipping,Completed,200.00,15722
E0016348-0010069,0032700000xsJUUAA2,1475,2024-04-23 18:39:00,Shipping,Completed,560.00,34022
E0016348-0010004,0032700000wgVgQAAU,5545,2024-04-22 14:40:00,Shipping,Completed,342.00,34500
E0016348-0010117,0032700000MDtpKAAT,3565,2024-04-19 17:38:00,Pickup,Completed,50.00,6920
E0016348-0010087,00327000007I65VAAS,3455,2024-04-16 23:06:00,Shipping,Completed,297.00,23940
E0016348-0010103,0032700000wgVgQAAU,5545,2024-04-15 19:00:00,Pickup,Completed,323.00,32460
E0016348-0010234,0032700000fUKo6AAG,3455,2024-04-14 19:15:00,Shipping,Completed,198.00,15600
E0016348-0010232,0032700000uEzMvAAK,5545,2024-04-14 13:25:00,Pickup,Completed,300.00,23595
E0016348-0010074,0032700000CMz2eAAD,5545,2024-04-13 19:16:00,Shipping,Completed,216.00,24200
E0016348-0010194,003270000031lZtAAI,5105,2024-04-10 13:21:00,Shipping,Completed,75.00,10000
E0016348-0010021,0032700000TEBDiAAP,3675,2024-04-08 18:18:00,Shipping,Completed,84.00,11700
E0016348-0010016,00327000000agKxAAI,1475,2024-04-06 23:27:00,Shipping,Completed,40.00,5300
E0016348-0010165,00327000007I65VAAS,3455,2024-04-06 19:49:00,Pickup,Cancelled,187.00,0
E0016348-0010183,0032700000DaahBAAR,3675,2024-04-05 23:02:00,Shipping,Completed,297.00,23580
E0016348-0010187,0032700000wXLHeAAO,2465,2024-04-04 22:58:00,Pickup,Completed,55.00,8625
E0016348-0010240,0032700000FpOAKAA3,2465,2024-04-02 23:20:00,Pickup,Completed,546.00,43244
E0016348-0010190,003270000067svhAAA,1255,2024-04-02 22:32:00,Pickup,Cancelled,36.00,0
E0016348-0010161,003270000037Z3SAAU,1915,2024-04-02 22:11:00,Shipping,Cancelled,90.00,11850
E0016348-0010085,0032700000vbopnAAA,4995,2024-03-31 23:41:00,Pickup,Cancelled,540.00,0
E0016348-0010230,00327000008fCSPAA2,3895,2024-03-29 15:44:00,Pickup,Cancelled,155.00,0
E0016348-0010222,0032700000yQ55RAAS,1915,2024-03-28 14:16:00,Pickup,Completed,72.00,13350
E0016348-0010057,0032700000UfcApAAJ,3565,2024-03-26 18:09:00,Pickup,Completed,30.00,3950
E0016348-0010213,0032700000EeXf5AAF,2685,2024-03-21 14:59:00,Pickup,Completed,178.00,10700
E0016348-0010127,003270000031lZtAAI,5105,2024-03-19 23:11:00,Pickup,Completed,303.00,12750
E0016348-0010220,00327000003VuWrAAK,4665,2024-03-15 23:24:00,Pickup,Cancelled,140.00,0
E0016348-0010017,0032700000XvHRZAA3,1475,2024-03-15 20:43:00,Pickup,Completed,370.00,23440
E0016348-0010154,0032700000x1N5mAAE,2575,2024-03-14 18:33:00,Shipping,Completed,22.00,3400
E0016348-0010084,0032700000a0iXrAAI,1475,2024-03-13 18:11:00,Pickup,Completed,89.00,5350
E0016348-0010086,0032700000kXLZzAAO,2465,2024-03-09 23:38:00,Shipping,Completed,200.00,12000
E0016348-0010097,00327000005bjfmAAA,1475,2024-03-09 18:42:00,Shipping,Completed,606.00,25500
E0016348-0010204,0032700000wnbIXAAY,4775,2024-03-08 18:35:00,Shipping,Completed,100.00,11402
E0016348-0010144,0032700000Ok8quAAB,1145,2024-03-06 20:28:00,Pickup,Completed,99.00,7980
E0016348-0010061,00327000008fCSPAA2,3895,2024-03-04 19:24:00,Shipping,Completed,183.00,18230
E0016348-0010244,0032700000rKkNFAA0,2685,2024-03-03 16:14:00,Pickup,Completed,135.00,17100
E0016348-0010090,0032700000crOViAAM,6095,2024-03-02 22:03:00,Shipping,Cancelled,72.00,0
E0016348-0010032,0032700000yTwMkAAK,6205,2024-02-28 15:48:00,Pickup,Completed,270.00,31224
E0016348-0010076,0032700000x1N5mAAE,2575,2024-02-27 17:44:00,Shipping,Completed,25.75,3640
E0016348-0010186,0032700000uEzMvAAK,5545,2024-02-26 14:17:00,Pickup,Completed,75.00,10000
E0016348-0010129,0032700000NZMSgAAP,3565,2024-02-25 22:28:00,Shipping,Completed,178.00,10700
E0016348-0010109,0032700000ojInSAAU,5545,2024-02-25 21:25:00,Pickup,Completed,70.00,9200
E0016348-0010108,0032700000ByL8lAAF,3565,2024-02-24 23:52:00,Shipping,Completed,499.00,39784
E0016348-0010160,00327000001NdeUAAS,3785,2024-02-22 19:30:00,Shipping,Cancelled,234.00,0
E0016348-0010058,0032700000ElZ0LAAV,3785,2024-02-22 17:08:00,Pickup,Completed,58.00,8000
E0016348-0010212,00327000004YVEEAA4,5765,2024-02-19 18:48:00,Shipping,Completed,99.00,6400
E0016348-0010038,0032700000wnbIXAAY,4775,2024-02-18 18:35:00,Pickup,Completed,245.00,33118
E0016348-0010132,0032700000eeNMMAA2,5765,2024-02-15 20:37:00,Shipping,Completed,16.00,3200
E0016348-0010047,0032700000EeXf5AAF,2685,2024-02-15 14:50:00,Shipping,Completed,473.00,21750
E0016348-0010227,0032700000ElZ0LAAV,3785,2024-02-14 18:43:00,Shipping,Completed,30.00,3950
E0016348-0010123,003270000067svhAAA,1255,2024-02-13 12:26:00,Shipping,Completed,135.00,20736
E0016348-0010138,0032700000OCtWvAAL,4005,2024-02-11 18:00:00,Pickup,Completed,99.00,7980
E0016348-0010065,0032700000fUKo6AAG,3455,2024-02-11 17:45:00,Shipping,Cancelled,520.00,0
E0016348-0010019,0032700000QCNr3AAH,5765,2024-02-10 15:05:00,Shipping,Completed,72.00,8580
E0016348-0010197,00327000007Zb54AAC,1365,2024-02-09 21:29:00,Shipping,Completed,363.00,28830
E0016348-0010174,0032700000aKH4nAAG,5435,2024-02-08 13:40:00,Pickup,Completed,150.00,19700
E0016348-0010010,0032700000ojInSAAU,5545,2024-02-06 18:22:00,Shipping,Completed,258.00,23504
E0016348-0010040,0032700000OmB5bAAF,3345,2024-02-06 12:28:00,Pickup,Completed,250.00,13000
E0016348-0010052,0032700000wmIUkAAM,4445,2024-02-04 16:02:00,Pickup,Completed,528.00,62556
E0016348-0010203,0032700000nPDgQAAW,5985,2024-02-03 20:41:00,Shipping,Completed,40.00,7136
E0016348-0010245,0032700000x1N5mAAE,2575,2024-02-02 21:26:00,Shipping,Completed,878.00,44040
E0016348-0010096,0032700000aKH4nAAG,5435,2024-01-27 16:48:00,Pickup,Completed,139.00,7023
E0016348-0010011,0032700000HMIEsAAP,5435,2024-01-25 18:45:00,Shipping,Completed,30.00,3950
E0016348-0010125,0032700000mwbVRAAY,1475,2024-01-25 12:57:00,Shipping,Cancelled,60.00,0
E0016348-0010073,0032700000TPwFoAAL,5655,2024-01-22 18:32:00,Pickup,Completed,420.00,25950
E0016348-0010071,0032700000FpOAKAA3,2465,2024-01-21 14:19:00,Shipping,Completed,178.00,10700
E0016348-0010145,00327000004YVEEAA4,5765,2024-01-21 13:43:00,Shipping,Cancelled,494.25,0
E0016348-0010102,0032700000igJw1AAE,2575,2024-01-20 12:46:00,Shipping,Completed,64.00,8360
E0016348-0010043,0032700000wXLHeAAO,2465,2024-01-18 17:22:00,Pickup,Completed,36.00,4290
E0016348-0010243,0032700000CMz2eAAD,5545,2024-01-17 22:47:00,Shipping,Completed,60.00,8925
E0016348-0010229,0032700000DaahBAAR,3675,2024-01-16 22:33:00,Shipping,Completed,35.00,4600
E0016348-0010029,0032700000JxfQhAAJ,5545,2024-01-16 21:42:00,Pickup,Completed,120.00,17850
E0016348-0010098,0032700000GBOIzAAP,4995,2024-01-12 20:43:00,Pickup,Completed,90.00,10600
E0016348-0010051,00327000003VuWrAAK,4665,2024-01-11 16:28:00,Shipping,Completed,100.00,8190
E0016348-0010063,0032700000uEzMvAAK,5545,2024-01-10 14:22:00,Shipping,Completed,70.00,9200
E0016348-0010082,00327000001NdeUAAS,3785,2024-01-08 17:59:00,Pickup,Completed,297.00,19200
E0016348-0010216,0032700000crOViAAM,6095,2024-01-04 23:46:00,Shipping,Completed,458.00,33350
E0016348-0010196,0032700000NZMSgAAP,3565,2024-01-04 16:23:00,Shipping,Completed,185.00,14460
E0016348-0010191,0032700000DneKRAAZ,6095,2024-01-03 19:20:00,Shipping,Completed,60.00,5800
E0016348-0010042,0032700000npcq2AAA,1915,2024-01-02 23:04:00,Shipping,Completed,170.00,9000
E0016348-0010221,0032700000wmIUkAAM,4445,2024-01-01 13:59:00,Pickup,Completed,28.00,4550
E0016348-0010201,0032700000PiL3BAAV,5325,2023-12-30 23:01:00,Shipping,Completed,260.00,13200
E0016348-0010219,0032700000DMpfuAAD,2245,2023-12-29 15:46:00,Pickup,Completed,80.00,10600
E0016348-0010039,0032700000OCtWvAAL,4005,2023-12-28 21:03:00,Shipping,Completed,70.00,6400
E0016348-0010246,00327000000xfTJAAY,3455,2023-12-26 19:21:00,Shipping,Completed,240.00,8500
E0016348-0010116,0032700000XvHRZAA3,1475,2023-12-25 13:29:00,Shipping,Completed,340.00,14000
E0016348-0010149,0032700000FpOAKAA3,2465,2023-12-24 13:01:00,Shipping,Completed,170.00,7000
E0016348-0010077,00327000000xfTJAAY,3455,2023-12-23 15:38:00,Shipping,Completed,90.00,13824
E0016348-0010023,0032700000fLqhKAAS,3345,2023-12-22 16:50:00,Pickup,Completed,60.00,7900
E0016348-0010110,0032700000HMIEsAAP,5435,2023-12-18 17:53:00,Shipping,Cancelled,303.00,0
E0016348-0010095,00327000003pUjdAAE,2465,2023-12-17 22:33:00,Shipping,Cancelled,360.00,0
E0016348-0010176,0032700000GBOIzAAP,4995,2023-12-17 15:42:00,Shipping,Completed,297.00,23580
E0016348-0010180,0032700000UfcApAAJ,3565,2023-12-10 19:01:00,Shipping,Cancelled,51.50,0
E0016348-0010156,0032700000eWU7qAAG,4885,2023-12-10 12:59:00,Shipping,Completed,150.00,17100
E0016348-0010134,0032700000PiL3BAAV,5325,2023-12-09 16:59:00,Pickup,Completed,1087.00,88696
E0016348-0010250,0032700000GBOIzAAP,4995,2023-12-08 22:10:00,Shipping,Completed,260.00,17100
E0016348-0010153,0032700000rKkNFAA0,2685,2023-12-07 15:46:00,Pickup,Completed,2719.00,121582
E0016348-0010130,00327000007Zb54AAC,1365,2023-12-03 20:31:00,Shipping,Cancelled,77.25,0
E0016348-0010119,0032700000chUS4AAM,2575,2023-12-03 12:57:00,Pickup,Completed,299.00,17600
E0016348-0010055,0032700000ay71zAAA,5545,2023-11-29 15:38:00,Shipping,Cancelled,60.00,0
E0016348-0010150,0032700000elh3mAAA,5105,2023-11-28 20:52:00,Shipping,Cancelled,786.00,0
E0016348-0010225,0032700000mk26uAAA,2575,2023-11-28 18:57:00,Shipping,Cancelled,2115.00,0
E0016348-0010249,0032700000sfbRhAAI,4665,2023-11-27 12:38:00,Pickup,Completed,160.00,15100
E0016348-0010034,0032700000Jgn0DAAR,5435,2023-11-27 12:36:00,Pickup,Completed,135.00,18762
E0016348-0010112,0032700000lxkkGAAQ,1475,2023-11-26 15:19:00,Pickup,Completed,140.00,8650
E0016348-0010009,0032700000ByL8lAAF,3565,2023-11-22 20:07:00,Pickup,Completed,251.00,28354
E0016348-0010164,0032700000kXLZzAAO,2465,2023-11-22 12:22:00,Pickup,Completed,150.00,8800
E0016348-0010007,00327000000TKQJAA4,4665,2023-11-21 20:13:00,Pickup,Completed,478.00,56774
E0016348-0010193,0032700000w1ozXAAQ,3565,2023-11-21 16:44:00,Pickup,Completed,45.00,5700
E0016348-0010139,0032700000OmB5bAAF,3345,2023-11-20 16:46:00,Shipping,Completed,50.00,7400
E0016348-0010179,0032700000mk26uAAA,2575,2023-11-18 20:39:00,Shipping,Completed,582.00,48530
E0016348-0010041,0032700000Ox0UNAAZ,5545,2023-11-17 12:21:00,Shipping,Completed,296.00,13150
E0016348-0010068,00327000008TNkkAAG,3015,2023-11-16 20:01:00,Pickup,Completed,524.00,16000
E0016348-0010184,00327000008fCSPAA2,3895,2023-11-15 13:18:00,Shipping,Completed,312.00,36950
E0016348-0010030,0032700000NZMSgAAP,3565,2023-11-14 21:04:00,Pickup,Completed,75.00,10000
E0016348-0010033,0032700000eeNMMAA2,5765,2023-11-12 19:11:00,Shipping,Completed,25.75,3640
E0016348-0010155,00327000000xfTJAAY,3455,2023-11-10 23:42:00,Shipping,Cancelled,54.00,0
E0016348-0010066,00327000000ywZ0AAI,4335,2023-11-09 14:39:00,Pickup,Completed,170.00,9000
E0016348-0010168,0032700000crOViAAM,6095,2023-11-06 13:43:00,Pickup,Completed,32.00,4180
E0016348-0010093,0032700000DMpfuAAD,2245,2023-11-05 12:39:00,Shipping,Completed,150.00,12800
E0016348-0010242,0032700000TPwFoAAL,5655,2023-11-04 17:51:00,Pickup,Completed,135.00,20736
E0016348-0010173,00327000003pUjdAAE,2465,2023-11-02 13:48:00,Shipping,Completed,115.00,8390
E0016348-0010209,0032700000wXLHeAAO,2465,2023-11-01 23:40:00,Pickup,Completed,178.00,10700
E0016348-0010218,0032700000uQddNAAS,5985,2023-10-27 14:59:00,Pickup,Completed,51.50,7280
E0016348-0010137,0032700000wnbIXAAY,4775,2023-10-24 21:37:00,Pickup,Completed,120.00,11600
E0016348-0010226,0032700000UfcApAAJ,3565,2023-10-20 19:53:00,Pickup,Completed,447.00,26250
E0016348-0010202,0032700000uzGyIAAU,5545,2023-10-19 16:45:00,Pickup,Completed,150.00,17100
E0016348-0010122,0032700000fLqhKAAS,3345,2023-10-15 19:36:00,Shipping,Completed,300.00,23583
E0016348-0010171,0032700000DMpfuAAD,2245,2023-10-14 21:12:00,Shipping,Completed,145.00,19923
E0016348-0010094,0032700000iHB5EAAW,5215,2023-10-12 23:40:00,Shipping,Completed,240.00,16920
E0016348-0010015,0032700000bs6RhAAI,1695,2023-10-10 18:52:00,Shipping,Completed,60.00,5800
E0016348-0010158,0032700000sfbRhAAI,4665,2023-10-06 18:46:00,Shipping,Completed,350.00,14000
E0016348-0010248,0032700000iGDEUAA4,3565,2023-09-28 20:27:00,Shipping,Completed,60.00,5800
E0016348-0010252,0032700000rIg11AAC,5105,2023-09-27 18:43:00,Shipping,Completed,35.00,4600
E0016348-0010162,0032700000a0iXrAAI,1475,2023-09-26 14:42:00,Pickup,Completed,50.00,5700
E0016348-0010059,00327000002EjZnAAK,5105,2023-09-24 23:22:00,Shipping,Completed,66.00,11256
E0016348-0010228,00327000002EjZnAAK,5105,2023-09-24 22:09:00,Shipping,Completed,75.00,10000
E0016348-0010199,0032700000eeNMMAA2,5765,2023-09-24 20:55:00,Pickup,Completed,50.00,6920
E0016348-0010100,0032700000WPwRCAA1,2245,2023-09-24 13:58:00,Shipping,Cancelled,150.00,0
E0016348-0010210,0032700000piqCLAAY,1145,2023-09-23 19:45:00,Shipping,Cancelled,198.00,0
E0016348-0010142,0032700000wXLHeAAO,2465,2023-09-23 13:03:00,Pickup,Completed,179.00,9060
E0016348-0010177,00327000003UKTnAAO,5985,2023-09-22 22:14:00,Pickup,Completed,290.00,18920
E0016348-0010018,0032700000MDtpKAAT,3565,2023-09-21 22:24:00,Shipping,Completed,180.00,15500
E0016348-0010205,0032700000OCtWvAAL,4005,2023-09-20 13:15:00,Pickup,Cancelled,44.00,0
E0016348-0010025,0032700000DneKRAAZ,6095,2023-09-13 20:15:00,Shipping,Completed,70.00,9200
E0016348-0010035,0032700000PiL3BAAV,5325,2023-09-12 19:32:00,Shipping,Completed,520.00,26400
E0016348-0010214,0032700000Bav6SAAR,5545,2023-09-11 23:52:00,Shipping,Completed,70.00,6400
E0016348-0010217,0032700000Xq1dfAAB,1145,2023-09-10 12:57:00,Pickup,Completed,50.00,7400
E0016348-0010235,00327000000ywZ0AAI,4335,2023-09-09 12:55:00,Pickup,Completed,537.00,27180
